ActivityHour,Id,Calories,TotalIntensity,AverageIntensity,StepTotal,hour,dayofyear,dayofweek,dayofmonth,isweekend
2016-03-24 19:00:00+00:00,2347167796,195,74,1.233333,2524,19,84,3,24,False
2016-03-24 20:00:00+00:00,2347167796,62,2,0.033333,25,20,84,3,24,False
2016-03-24 21:00:00+00:00,2347167796,77,11,0.183333,222,21,84,3,24,False
2016-03-24 22:00:00+00:00,2347167796,83,14,0.233333,285,22,84,3,24,False
2016-03-24 23:00:00+00:00,2347167796,57,0,0.0,0,23,84,3,24,False
2016-03-25 00:00:00+00:00,2347167796,58,1,0.016667,7,0,85,4,25,False
2016-03-25 01:00:00+00:00,2347167796,60,2,0.033333,14,1,85,4,25,False
2016-03-25 02:00:00+00:00,2347167796,57,0,0.0,0,2,85,4,25,False
2016-03-25 03:00:00+00:00,2347167796,58,1,0.016667,9,3,85,4,25,False
2016-03-25 04:00:00+00:00,2347167796,57,0,0.0,0,4,85,4,25,False
2016-03-25 05:00:00+00:00,2347167796,66,5,0.083333,100,5,85,4,25,False
2016-03-25 06:00:00+00:00,2347167796,72,7,0.116667,119,6,85,4,25,False
